"Downloaded on",05/26/2025,"18:02:01 EDT"
"Source Url",https://www.congress.gov/bill/119th-congress/house-concurrent-resolution/14/amendments?pageSize=250

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

Congress,"Amendment Number","Amends Bill","Amends Amendment",Sponsor,"Party of Sponsor","Number of Cosponsors","Purpose / Description","Amendment Text (Latest)","Amendment Text Version","Date Submitted","Date Proposed / Offered","Status of Amendment","Committee of Referral","Latest Action","Latest Action Date"
119,"S.Amdt. 2221","H.Con.Res. 14",,"Cotton, Tom [Sen.-R-AR] (Submitted 04/04/2025)",Republican,0,,"[Page S2447]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]

  SA 2221. Mr. COTTON submitted an amendment intended to be proposed by 
him to the concurrent resolution H. Con. Res. 14, establishing the 
congressional budget for the United States Government for fiscal year 
2025 and setting forth the appropriate budgetary levels for fiscal 
years 2026 through 2034; which was ordered to lie on the table; as 
follows:

       At the appropriate place, insert the following:

     SEC. ___. POINT OF ORDER AGAINST PROVIDING FUNDING FOR THE 
                   INTERNATIONAL CRIMINAL COURT OR THE UNITED 
                   NATIONS IF ANY UNITED NATIONS BODY INVESTIGATES 
                   ISRAEL OR ANY OF ITS EMPLOYEES PARTICIPATED IN 
                   THE OCTOBER 7, 2023, TERRORIST ATTACK AGAINST 
                   ISRAEL.

       (a) Point of Order.--It shall not be in order in the Senate 
     to consider any bill, joint resolution, motion, amendment, 
     amendment between the Houses, or conference report that 
     provides funding for the International Criminal Court or the 
     United Nations if any United Nations body has adopted a 
     resolution to investigate Israel or any of employee of such a 
     body participated in the October 7, 2023, terrorist attack 
     against Israel.
       (b) Waiver and Appeal.--Subsection (a) may be waived or 
     suspended in the Senate only by an affirmative vote of three-
     fifths of the Members, duly chosen and sworn. An affirmative 
     vote of three-fifths of the Members of the Senate, duly 
     chosen and sworn, shall be required to sustain an appeal of 
     the ruling of the Chair on a point of order raised under 
     subsection (a).

                          ____________________



",,04/04/2025,,"Senate amendment submitted",,,
119,"S.Amdt. 2220","H.Con.Res. 14",,"Padilla, Alex [Sen.-D-CA] (Submitted 04/04/2025)",Democratic,0,,"[Page S2447]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]

  SA 2220. Mr. PADILLA submitted an amendment intended to be proposed 
by him to the concurrent resolution H. Con. Res. 14, establishing the 
congressional budget for the United States Government for fiscal year 
2025 and setting forth the appropriate budgetary levels for fiscal 
years 2026 through 2034; which was ordered to lie on the table; as 
follows:

       At the appropriate place, add the following:

     SEC. ___. DEFICIT-NEUTRAL RESERVE FUND RELATING TO PROTECTING 
                   TRIBAL CITIZENS FROM HARASSMENT.

       The Chairman of the Committee on the Budget of the Senate 
     may revise the allocations of a committee or committees, 
     aggregates, and other appropriate levels in this resolution, 
     and make adjustments to the pay-as-you-go ledger, for one or 
     more bills, joint resolutions, amendments, amendments between 
     the Houses, motions, or conference reports relating to 
     protecting Tribal citizens from harassment, which may include 
     harassment by U.S. Immigration and Customs Enforcement 
     officers, given the undisputed legal status of Tribal 
     citizens, by the amounts provided in such legislation for 
     those purposes, provided that such legislation would not 
     increase the deficit over the period of the total of fiscal 
     years 2025 through 2034.
                                 ______



",,04/04/2025,,"Senate amendment submitted",,,
119,"S.Amdt. 2219","H.Con.Res. 14",,"Merkley, Jeff [Sen.-D-OR] (Submitted 04/04/2025)",Democratic,0,,"[Page S2447]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]

  SA 2219. Mr. MERKLEY submitted an amendment intended to be proposed 
by him to the concurrent resolution H. Con. Res. 14, establishing the 
congressional budget for the United States Government for fiscal year 
2025 and setting forth the appropriate budgetary levels for fiscal 
years 2026 through 2034; which was ordered to lie on the table; as 
follows:

       At the appropriate place, insert the following:

     SEC. ___. DEFICIT-NEUTRAL RESERVE FUND RELATING TO ENSURING 
                   THAT NO REDUCTIONS IN MEDICAID FUNDING RESULT 
                   IN THE LOSS OF COVERAGE FOR INDIVIDUALS LIVING 
                   WITH HIV.

       The Chairman of the Committee on the Budget of the Senate 
     may revise the allocations of a committee or committees, 
     aggregates, and other appropriate levels in this resolution, 
     and make adjustments to the pay-as-you-go ledger, for one or 
     more bills, joint resolutions, amendments, amendments between 
     the Houses, motions, or conference reports relating to 
     ensuring that no reductions in Medicaid funding result in the 
     loss of coverage for individuals living with HIV, by the 
     amounts provided in such legislation for those purposes, 
     provided that such legislation would not increase the deficit 
     over the period of the total of fiscal years 2025 through 
     2034.
                                 ______



",,04/04/2025,,"Senate amendment submitted",,,
119,"S.Amdt. 2218","H.Con.Res. 14",,"Merkley, Jeff [Sen.-D-OR] (Submitted 04/04/2025)",Democratic,0,,"[Page S2447]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]

  SA 2218. Mr. MERKLEY submitted an amendment intended to be proposed 
by him to the concurrent resolution H. Con. Res. 14, establishing the 
congressional budget for the United States Government for fiscal year 
2025 and setting forth the appropriate budgetary levels for fiscal 
years 2026 through 2034; which was ordered to lie on the table; as 
follows:

       At the appropriate place, insert the following:

     SEC. ___. POINT OF ORDER AGAINST LEGISLATION THAT WOULD 
                   PROHIBIT TRANSGENDER PEOPLE FROM SERVING IN THE 
                   UNITED STATES ARMED FORCES.

       (a) Point of Order.--It shall not be in order in the Senate 
     to consider any bill, joint resolution, motion, amendment, 
     amendment between the Houses, or conference report that would 
     prohibit transgender people from serving in the United States 
     Armed Forces.
       (b) Waiver and Appeal.--Subsection (a) may be waived or 
     suspended in the Senate only by an affirmative vote of three-
     fifths of the Members, duly chosen and sworn. An affirmative 
     vote of three-fifths of the Members of the Senate, duly 
     chosen and sworn, shall be required to sustain an appeal of 
     the ruling of the Chair on a point of order raised under 
     subsection (a).
                                 ______



",,04/04/2025,,"Senate amendment submitted",,,
119,"S.Amdt. 2217","H.Con.Res. 14",,"Booker, Cory A. [Sen.-D-NJ] (Submitted 04/04/2025)",Democratic,0,,"[Page S2447]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]

  SA 2217. Mr. BOOKER submitted an amendment intended to be proposed by 
him to the concurrent resolution H. Con. Res. 14, establishing the 
congressional budget for the United States Government for fiscal year 
2025 and setting forth the appropriate budgetary levels for fiscal 
years 2026 through 2034; which was ordered to lie on the table; as 
follows:

       At the appropriate place, insert the following:

     SEC. ___. DEFICIT-NEUTRAL RESERVE FUND RELATING TO 
                   MAINTAINING CRITICAL DATA AT THE NATIONAL 
                   OCEANIC AND ATMOSPHERIC ADMINISTRATION.

       The Chairman of the Committee on the Budget of the Senate 
     may revise the allocations of a committee or committees, 
     aggregates, and other appropriate levels in this resolution, 
     and make adjustments to the pay-as-you-go ledger, for one or 
     more bills, joint resolutions, amendments, amendments between 
     the Houses, motions, or conference reports relating to 
     maintaining key environmental data that enables military 
     readiness, civilian safety in the face of natural disasters, 
     and ensuring operational advantages, which may include 
     requiring that websites of Oceanic and Atmospheric Research 
     of the National Oceanic and Atmospheric Administration remain 
     online and accessible, by the amounts provided in such 
     legislation for those purposes, provided that such 
     legislation would not increase the deficit over the period of 
     the total of fiscal years 2025 through 2034.
                                 ______



",,04/04/2025,,"Senate amendment submitted",,,
119,"S.Amdt. 2216","H.Con.Res. 14",,"Booker, Cory A. [Sen.-D-NJ] (Submitted 04/04/2025)",Democratic,0,,"[Pages S2446-S2447]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]

  SA 2216. Mr. BOOKER submitted an amendment intended to be proposed by 
him to the concurrent resolution H. Con. Res. 14, establishing the 
congressional budget for the United States Government for fiscal year 
2025 and

[[Page S2447]]

setting forth the appropriate budgetary levels for fiscal years 2026 
through 2034; which was ordered to lie on the table; as follows:

       At the appropriate place, insert the following:

     SEC. ___. DEFICIT-NEUTRAL RESERVE FUND RELATING TO 
                   ENVIRONMENTAL JUSTICE.

       The Chairman of the Committee on the Budget of the Senate 
     may revise the allocations of a committee or committees, 
     aggregates, and other appropriate levels in this resolution, 
     and make adjustments to the pay-as-you-go ledger, for one or 
     more bills, joint resolutions, amendments, amendments between 
     the Houses, motions, or conference reports relating to 
     environmental justice, which may include acknowledging that 
     marginalized communities are disproportionately impacted by 
     environmental harms or that addressing this harm requires 
     centering environmental justice, by the amounts provided in 
     such legislation for those purposes, provided that such 
     legislation would not increase the deficit over the period of 
     the total of fiscal years 2025 through 2034.
                                 ______



",,04/04/2025,,"Senate amendment submitted",,,
119,"S.Amdt. 2215","H.Con.Res. 14",,"Booker, Cory A. [Sen.-D-NJ] (Submitted 04/04/2025)",Democratic,0,,"[Page S2446]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]

  SA 2215. Mr. BOOKER submitted an amendment intended to be proposed by 
him to the concurrent resolution H. Con. Res. 14, establishing the 
congressional budget for the United States Government for fiscal year 
2025 and setting forth the appropriate budgetary levels for fiscal 
years 2026 through 2034; which was ordered to lie on the table; as 
follows:

       At the appropriate place, insert the following:

     SEC. ___. DEFICIT-NEUTRAL RESERVE FUND RELATING TO 
                   MAINTAINING CRITICAL AND LIFE-SAVING 
                   ENVIRONMENTAL REGULATIONS.

       The Chairman of the Committee on the Budget of the Senate 
     may revise the allocations of a committee or committees, 
     aggregates, and other appropriate levels in this resolution, 
     and make adjustments to the pay-as-you-go ledger, for one or 
     more bills, joint resolutions, amendments, amendments between 
     the Houses, motions, or conference reports relating to 
     maintaining clean air and water, which may include codifying 
     the 31 regulations that the Environmental Protection Agency 
     is rolling back that were projected to save the lives of 
     nearly 200,000 people across the next 25 years, by the 
     amounts provided in such legislation for those purposes, 
     provided that such legislation would not increase the deficit 
     over the period of the total of fiscal years 2025 through 
     2034.
                                 ______



",,04/04/2025,,"Senate amendment submitted",,,
119,"S.Amdt. 2214","H.Con.Res. 14",,"Schiff, Adam B. [Sen.-D-CA] (Submitted 04/04/2025)",Democratic,0,,"[Page S2446]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]

  SA 2214. Mr. SCHIFF submitted an amendment intended to be proposed by 
him to the concurrent resolution H. Con. Res. 14, establishing the 
congressional budget for the United States Government for fiscal year 
2025 and setting forth the appropriate budgetary levels for fiscal 
years 2026 through 2034; which was ordered to lie on the table; as 
follows:

       At the appropriate place, insert the following:

     SEC. ___. DEFICIT-NEUTRAL RESERVE FUND RELATING TO PROTECTING 
                   FAMILIES AND BUSINESSES IN THE UNITED STATES 
                   FROM PRICE INCREASES.

       The Chairman of the Committee on the Budget of the Senate 
     may revise the allocations of a committee or committees, 
     aggregates, and other appropriate levels in this resolution, 
     and make adjustments to the pay-as-you-go ledger, for one or 
     more bills, joint resolutions, amendments, amendments between 
     the Houses, motions, or conference reports relating to 
     protecting families and businesses in the United States from 
     price increases, which may include disapproval by Congress of 
     new or increased tariffs imposed under emergency authority 
     that are found by the United States International Trade 
     Commission to increase costs for the average family in the 
     United States or result in United States private sector job 
     losses, by the amounts provided in such legislation for those 
     purposes, provided that such legislation would not increase 
     the deficit over the period of the total of fiscal years 2025 
     through 2034.
                                 ______



",,04/04/2025,,"Senate amendment submitted",,,
119,"S.Amdt. 2213","H.Con.Res. 14",,"Cruz, Ted [Sen.-R-TX] (Submitted 04/04/2025)",Republican,0,,"[Page S2446]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]

  SA 2213. Mr. CRUZ submitted an amendment intended to be proposed by 
him to the concurrent resolution H. Con. Res. 14, establishing the 
congressional budget for the United States Government for fiscal year 
2025 and setting forth the appropriate budgetary levels for fiscal 
years 2026 through 2034; which was ordered to lie on the table; as 
follows:

       At the appropriate place, insert the following:

     SEC. ___. DEFICIT-NEUTRAL RESERVE FUND RELATING TO LIMITING 
                   OR PROHIBITING THE PROVISION OF FEDERAL FUNDS 
                   TO FEMALE CORRECTIONAL FACILITIES THAT HOUSE 
                   BIOLOGICAL MALE INMATES.

       The Chairman of the Committee on the Budget of the Senate 
     may revise the allocations of a committee or committees, 
     aggregates, and other appropriate levels in this resolution, 
     and make adjustments to the pay-as-you-go ledger, for one or 
     more bills, joint resolutions, amendments, amendments between 
     the Houses, motions, or conference reports relating to 
     carceral reform, which may include limiting or prohibiting 
     the provision of Federal funds to female correctional 
     facilities that house biological male inmates, by the amounts 
     provided in such legislation for those purposes, provided 
     that such legislation would not increase the deficit over the 
     period of the total of fiscal years 2025 through 2034.
                                 ______



",,04/04/2025,,"Senate amendment submitted",,,
119,"S.Amdt. 2212","H.Con.Res. 14","S.Amdt. 1717","Padilla, Alex [Sen.-D-CA] (Submitted 04/04/2025)",Democratic,0,,"[Page S2446]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]

  SA 2212. Mr. PADILLA submitted an amendment intended to be proposed 
to amendment SA 1717 proposed by Mr. Graham to the concurrent 
resolution H. Con. Res. 14, establishing the congressional budget for 
the United States Government for fiscal year 2025 and setting forth the 
appropriate budgetary levels for fiscal years 2026 through 2034; which 
was ordered to lie on the table; as follows:

       On page 3, line 5, increase the amount by $460,000,000.
       On page 3, line 6, increase the amount by $278,000,000.
       On page 3, line 7, increase the amount by $101,000,000.
       On page 3, line 8, increase the amount by $55,000,000.
       On page 3, line 9, increase the amount by $58,000,000.
       On page 3, line 18, increase the amount by $460,000,000.
       On page 3, line 19, increase the amount by $278,000,000.
       On page 3, line 20, increase the amount by $101,000,000.
       On page 3, line 21, increase the amount by $55,000,000.
       On page 3, line 22, increase the amount by $58,000,000.
       On page 4, line 6, increase the amount by $1,000,000,000.
       On page 4, line 19, increase the amount by $460,000,000.
       On page 4, line 20, increase the amount by $278,000,000.
       On page 4, line 21, increase the amount by $101,000,000.
       On page 4, line 22, increase the amount by $55,000,000.
       On page 4, line 23, increase the amount by $58,000,000.
       On page 33, line 19, increase the amount by $1,000,000,000.
       On page 33, line 20, increase the amount by $460,000,000.
       On page 33, line 24, increase the amount by $278,000,000.
       On page 34, line 3, increase the amount by $101,000,000.
       On page 34, line 7, increase the amount by $55,000,000.
       On page 34, line 11, increase the amount by $58,000,000.
                                 ______



",,04/04/2025,,"Senate amendment submitted",,,
