amount,text
"$2,000,000,000,000.","$2,000,000,000,000."
"$2 trillion.","Sec. 4001. Adjustment for spending cuts of at least $2 trillion."
"$3,699,743,000,000.","Fiscal year 2025: $3,699,743,000,000."
"$3,850,222,000,000.","Fiscal year 2026: $3,850,222,000,000."
"$3,935,426,000,000.","Fiscal year 2027: $3,935,426,000,000."
"$4,064,380,000,000.","Fiscal year 2028: $4,064,380,000,000."
"$4,187,266,000,000.","Fiscal year 2029: $4,187,266,000,000."
"$4,388,684,000,000.","Fiscal year 2030: $4,388,684,000,000."
"$4,600,466,000,000.","Fiscal year 2031: $4,600,466,000,000."
"$4,800,588,000,000.","Fiscal year 2032: $4,800,588,000,000."
"$5,020,540,000,000.","Fiscal year 2033: $5,020,540,000,000."
"$5,242,537,000,000.","Fiscal year 2034: $5,242,537,000,000."
"$150,000,000,000.","Fiscal year 2025: -$150,000,000,000."
"$150,000,000,000.","Fiscal year 2026: -$150,000,000,000."
"$150,000,000,000.","Fiscal year 2027: -$150,000,000,000."
"$150,000,000,000.","Fiscal year 2028: -$150,000,000,000."
"$150,000,000,000.","Fiscal year 2029: -$150,000,000,000."
"$150,000,000,000.","Fiscal year 2030: -$150,000,000,000."
"$150,000,000,000.","Fiscal year 2031: -$150,000,000,000."
"$150,000,000,000.","Fiscal year 2032: -$150,000,000,000."
"$150,000,000,000.","Fiscal year 2033: -$150,000,000,000."
"$150,000,000,000.","Fiscal year 2034: -$150,000,000,000."
"$4,663,769,000,000.","Fiscal year 2025: $4,663,769,000,000."
"$4,795,798,000,000.","Fiscal year 2026: $4,795,798,000,000."
"$4,933,048,000,000.","Fiscal year 2027: $4,933,048,000,000."
"$5,216,255,000,000.","Fiscal year 2028: $5,216,255,000,000."
"$5,375,045,000,000.","Fiscal year 2029: $5,375,045,000,000."
"$5,667,195,000,000.","Fiscal year 2030: $5,667,195,000,000."
"$5,915,714,000,000.","Fiscal year 2031: $5,915,714,000,000."
"$6,191,839,000,000.","Fiscal year 2032: $6,191,839,000,000."
"$6,530,356,000,000.","Fiscal year 2033: $6,530,356,000,000."
"$6,736,948,000,000.","Fiscal year 2034: $6,736,948,000,000."
"$4,636,008,000,000.","Fiscal year 2025: $4,636,008,000,000."
"$4,811,854,000,000.","Fiscal year 2026: $4,811,854,000,000."
"$5,009,263,000,000.","Fiscal year 2027: $5,009,263,000,000."
"$5,304,033,000,000.","Fiscal year 2028: $5,304,033,000,000."
"$5,364,632,000,000.","Fiscal year 2029: $5,364,632,000,000."
"$5,654,106,000,000.","Fiscal year 2030: $5,654,106,000,000."
"$5,882,786,000,000.","Fiscal year 2031: $5,882,786,000,000."
"$6,121,866,000,000.","Fiscal year 2032: $6,121,866,000,000."
"$6,487,182,000,000.","Fiscal year 2033: $6,487,182,000,000."
"$6,647,428,000,000.","Fiscal year 2034: $6,647,428,000,000."
"$936,265,000,000.","Fiscal year 2025: $936,265,000,000."
"$961,632,000,000.","Fiscal year 2026: $961,632,000,000."
"$1,073,837,000,000.","Fiscal year 2027: $1,073,837,000,000."
"$1,239,653,000,000.","Fiscal year 2028: $1,239,653,000,000."
"$1,177,366,000,000.","Fiscal year 2029: $1,177,366,000,000."
"$1,265,422,000,000.","Fiscal year 2030: $1,265,422,000,000."
"$1,282,320,000,000.","Fiscal year 2031: $1,282,320,000,000."
"$1,321,278,000,000.","Fiscal year 2032: $1,321,278,000,000."
"$1,466,642,000,000.","Fiscal year 2033: $1,466,642,000,000."
"$1,404,891,000,000.","Fiscal year 2034: $1,404,891,000,000."
"$36,525,094,000,000.","Fiscal year 2025: $36,525,094,000,000."
"$37,838,733,000,000.","Fiscal year 2026: $37,838,733,000,000."
"$39,140,384,000,000.","Fiscal year 2027: $39,140,384,000,000."
"$40,566,455,000,000.","Fiscal year 2028: $40,566,455,000,000."
"$42,102,586,000,000.","Fiscal year 2029: $42,102,586,000,000."
"$43,583,333,000,000.","Fiscal year 2030: $43,583,333,000,000."
"$45,068,345,000,000.","Fiscal year 2031: $45,068,345,000,000."
"$46,595,036,000,000.","Fiscal year 2032: $46,595,036,000,000."
"$48,382,716,000,000.","Fiscal year 2033: $48,382,716,000,000."
"$50,481,979,000,000.","Fiscal year 2034: $50,481,979,000,000."
"$29,294,843,000,000.","Fiscal year 2025: $29,294,843,000,000."
"$30,468,366,000,000.","Fiscal year 2026: $30,468,366,000,000."
"$31,782,489,000,000.","Fiscal year 2027: $31,782,489,000,000."
"$33,298,095,000,000.","Fiscal year 2028: $33,298,095,000,000."
"$34,781,086,000,000.","Fiscal year 2029: $34,781,086,000,000."
"$36,380,984,000,000.","Fiscal year 2030: $36,380,984,000,000."
"$38,027,730,000,000.","Fiscal year 2031: $38,027,730,000,000."
"$39,759,791,000,000.","Fiscal year 2032: $39,759,791,000,000."
"$41,652,745,000,000.","Fiscal year 2033: $41,652,745,000,000."
"$43,515,483,000,000.","Fiscal year 2034: $43,515,483,000,000."
"$933,484,000,000.","(A) New budget authority, $933,484,000,000."
"$909,629,000,000.","(B) Outlays, $909,629,000,000."
"$901,220,000,000.","(A) New budget authority, $901,220,000,000."
"$904,412,000,000.","(B) Outlays, $904,412,000,000."
"$923,020,000,000.","(A) New budget authority, $923,020,000,000."
"$911,956,000,000.","(B) Outlays, $911,956,000,000."
"$944,111,000,000.","(A) New budget authority, $944,111,000,000."
"$934,660,000,000.","(B) Outlays, $934,660,000,000."
"$966,203,000,000.","(A) New budget authority, $966,203,000,000."
"$942,419,000,000.","(B) Outlays, $942,419,000,000."
"$989,212,000,000.","(A) New budget authority, $989,212,000,000."
"$966,361,000,000.","(B) Outlays, $966,361,000,000."
"$1,012,715,000,000.","(A) New budget authority, $1,012,715,000,000."
"$984,795,000,000.","(B) Outlays, $984,795,000,000."
"$1,036,723,000,000.","(A) New budget authority, $1,036,723,000,000."
"$1,003,888,000,000.","(B) Outlays, $1,003,888,000,000."
"$1,062,319,000,000.","(A) New budget authority, $1,062,319,000,000."
"$1,037,888,000,000.","(B) Outlays, $1,037,888,000,000."
"$1,087,382,000,000.","(A) New budget authority, $1,087,382,000,000."
"$1,054,430,000,000.","(B) Outlays, $1,054,430,000,000."
"$65,962,000,000.","(A) New budget authority, $65,962,000,000."
"$69,206,000,000.","(B) Outlays, $69,206,000,000."
"$61,716,000,000.","(A) New budget authority, $61,716,000,000."
"$67,669,000,000.","(B) Outlays, $67,669,000,000."
"$62,249,000,000.","(A) New budget authority, $62,249,000,000."
"$66,456,000,000.","(B) Outlays, $66,456,000,000."
"$63,512,000,000.","(A) New budget authority, $63,512,000,000."
"$62,391,000,000.","(B) Outlays, $62,391,000,000."
"$64,944,000,000.","(A) New budget authority, $64,944,000,000."
"$62,832,000,000.","(B) Outlays, $62,832,000,000."
"$66,408,000,000.","(A) New budget authority, $66,408,000,000."
"$63,077,000,000.","(B) Outlays, $63,077,000,000."
"$67,878,000,000.","(A) New budget authority, $67,878,000,000."
"$64,002,000,000.","(B) Outlays, $64,002,000,000."
"$69,343,000,000.","(A) New budget authority, $69,343,000,000."
"$65,176,000,000.","(B) Outlays, $65,176,000,000."
"$70,874,000,000.","(A) New budget authority, $70,874,000,000."
"$66,517,000,000.","(B) Outlays, $66,517,000,000."
"$72,435,000,000.","(A) New budget authority, $72,435,000,000."
"$67,889,000,000.","(B) Outlays, $67,889,000,000."
"$42,084,000,000.","(A) New budget authority, $42,084,000,000."
"$41,734,000,000.","(B) Outlays, $41,734,000,000."
"$41,345,000,000.","(A) New budget authority, $41,345,000,000."
"$41,844,000,000.","(B) Outlays, $41,844,000,000."
"$42,264,000,000.","(A) New budget authority, $42,264,000,000."
"$41,923,000,000.","(B) Outlays, $41,923,000,000."
"$43,099,000,000.","(A) New budget authority, $43,099,000,000."
"$42,198,000,000.","(B) Outlays, $42,198,000,000."
"$44,017,000,000.","(A) New budget authority, $44,017,000,000."
"$42,887,000,000.","(B) Outlays, $42,887,000,000."
"$44,980,000,000.","(A) New budget authority, $44,980,000,000."
"$43,633,000,000.","(B) Outlays, $43,633,000,000."
"$45,946,000,000.","(A) New budget authority, $45,946,000,000."
"$44,551,000,000.","(B) Outlays, $44,551,000,000."
"$46,922,000,000.","(A) New budget authority, $46,922,000,000."
"$45,486,000,000.","(B) Outlays, $45,486,000,000."
"$47,936,000,000.","(A) New budget authority, $47,936,000,000."
"$46,460,000,000.","(B) Outlays, $46,460,000,000."
"$48,985,000,000.","(A) New budget authority, $48,985,000,000."
"$47,466,000,000.","(B) Outlays, $47,466,000,000."
"$39,842,000,000.","(A) New budget authority, $39,842,000,000."
"$37,587,000,000.","(B) Outlays, $37,587,000,000."
"$39,958,000,000.","(A) New budget authority, $39,958,000,000."
"$44,514,000,000.","(B) Outlays, $44,514,000,000."
"$34,098,000,000.","(A) New budget authority, $34,098,000,000."
"$52,768,000,000.","(B) Outlays, $52,768,000,000."
"$34,825,000,000.","(A) New budget authority, $34,825,000,000."
"$51,623,000,000.","(B) Outlays, $51,623,000,000."
"$35,770,000,000.","(A) New budget authority, $35,770,000,000."
"$48,582,000,000.","(B) Outlays, $48,582,000,000."
"$33,946,000,000.","(A) New budget authority, $33,946,000,000."
"$42,596,000,000.","(B) Outlays, $42,596,000,000."
"$35,188,000,000.","(A) New budget authority, $35,188,000,000."
"$40,366,000,000.","(B) Outlays, $40,366,000,000."
"$39,697,000,000.","(A) New budget authority, $39,697,000,000."
"$41,611,000,000.","(B) Outlays, $41,611,000,000."
"$24,489,000,000.","(A) New budget authority, $24,489,000,000."
"$25,941,000,000.","(B) Outlays, $25,941,000,000."
"$16,203,000,000.","(A) New budget authority, $16,203,000,000."
"$17,040,000,000.","(B) Outlays, $17,040,000,000."
"$88,319,000,000.","(A) New budget authority, $88,319,000,000."
"$89,764,000,000.","(B) Outlays, $89,764,000,000."
"$67,633,000,000.","(A) New budget authority, $67,633,000,000."
"$80,552,000,000.","(B) Outlays, $80,552,000,000."
"$45,140,000,000.","(A) New budget authority, $45,140,000,000."
"$75,844,000,000.","(B) Outlays, $75,844,000,000."
"$45,985,000,000.","(A) New budget authority, $45,985,000,000."
"$71,673,000,000.","(B) Outlays, $71,673,000,000."
"$46,956,000,000.","(A) New budget authority, $46,956,000,000."
"$67,691,000,000.","(B) Outlays, $67,691,000,000."
"$47,707,000,000.","(A) New budget authority, $47,707,000,000."
"$63,948,000,000.","(B) Outlays, $63,948,000,000."
"$48,854,000,000.","(A) New budget authority, $48,854,000,000."
"$60,580,000,000.","(B) Outlays, $60,580,000,000."
"$49,918,000,000.","(A) New budget authority, $49,918,000,000."
"$56,444,000,000.","(B) Outlays, $56,444,000,000."
"$51,246,000,000.","(A) New budget authority, $51,246,000,000."
"$55,797,000,000.","(B) Outlays, $55,797,000,000."
"$52,225,000,000.","(A) New budget authority, $52,225,000,000."
"$55,480,000,000.","(B) Outlays, $55,480,000,000."
"$58,457,000,000.","(A) New budget authority, $58,457,000,000."
"$41,846,000,000.","(B) Outlays, $41,846,000,000."
"$28,163,000,000.","(A) New budget authority, $28,163,000,000."
"$46,212,000,000.","(B) Outlays, $46,212,000,000."
"$31,716,000,000.","(A) New budget authority, $31,716,000,000."
"$33,686,000,000.","(B) Outlays, $33,686,000,000."
"$33,008,000,000.","(A) New budget authority, $33,008,000,000."
"$34,426,000,000.","(B) Outlays, $34,426,000,000."
"$33,334,000,000.","(A) New budget authority, $33,334,000,000."
"$32,441,000,000.","(B) Outlays, $32,441,000,000."
"$30,857,000,000.","(A) New budget authority, $30,857,000,000."
"$30,098,000,000.","(B) Outlays, $30,098,000,000."
"$30,468,000,000.","(A) New budget authority, $30,468,000,000."
"$29,609,000,000.","(B) Outlays, $29,609,000,000."
"$31,239,000,000.","(A) New budget authority, $31,239,000,000."
"$30,163,000,000.","(B) Outlays, $30,163,000,000."
"$32,276,000,000.","(A) New budget authority, $32,276,000,000."
"$30,893,000,000.","(B) Outlays, $30,893,000,000."
"$32,912,000,000.","(A) New budget authority, $32,912,000,000."
"$31,721,000,000.","(B) Outlays, $31,721,000,000."
"$12,477,000,000.","(A) New budget authority, $12,477,000,000."
"$18,175,000,000.","(B) Outlays, -$18,175,000,000."
"$32,747,000,000.","(A) New budget authority, $32,747,000,000."
"$626,000,000.","(B) Outlays, -$626,000,000."
"$28,145,000,000.","(A) New budget authority, $28,145,000,000."
"$7,710,000,000.","(B) Outlays, $7,710,000,000."
"$56,796,000,000.","(A) New budget authority, -$56,796,000,000."
"$65,194,000,000.","(B) Outlays, -$65,194,000,000."
"$25,562,000,000.","(A) New budget authority, $25,562,000,000."
"$15,976,000,000.","(B) Outlays, $15,976,000,000."
"$25,712,000,000.","(A) New budget authority, $25,712,000,000."
"$12,680,000,000.","(B) Outlays, $12,680,000,000."
"$25,941,000,000.","(A) New budget authority, $25,941,000,000."
"$7,932,000,000.","(B) Outlays, $7,932,000,000."
"$26,354,000,000.","(A) New budget authority, $26,354,000,000."
"$5,060,000,000.","(B) Outlays, $5,060,000,000."
"$20,192,000,000.","(A) New budget authority, $20,192,000,000."
"$4,224,000,000.","(B) Outlays, -$4,224,000,000."
"$29,862,000,000.","(A) New budget authority, $29,862,000,000."
"$2,451,000,000.","(B) Outlays, $2,451,000,000."
"$173,158,000,000.","(A) New budget authority, $173,158,000,000."
"$144,771,000,000.","(B) Outlays, $144,771,000,000."
"$167,673,000,000.","(A) New budget authority, $167,673,000,000."
"$152,541,000,000.","(B) Outlays, $152,541,000,000."
"$132,085,000,000.","(A) New budget authority, $132,085,000,000."
"$158,068,000,000.","(B) Outlays, $158,068,000,000."
"$133,386,000,000.","(A) New budget authority, $133,386,000,000."
"$162,528,000,000.","(B) Outlays, $162,528,000,000."
"$134,447,000,000.","(A) New budget authority, $134,447,000,000."
"$160,846,000,000.","(B) Outlays, $160,846,000,000."
"$129,994,000,000.","(A) New budget authority, $129,994,000,000."
"$150,790,000,000.","(B) Outlays, $150,790,000,000."
"$130,964,000,000.","(A) New budget authority, $130,964,000,000."
